Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
275.3363685282076,509218.0772778179,2013-12-01,1849.43994140625,239000
276.9091751374728,512514.56824677106,2014-01-01,1850.8399658203125,240000
277.4445299580613,518244.1985916484,2014-02-01,1867.9200439453125,241000
277.97532398108217,523697.1629768311,2014-03-01,1883.969970703125,242000
279.5448017701376,530374.7696922357,2014-04-01,1897.280029296875,243000
280.0645441778824,538852.593139587,2014-05-01,1924.030029296875,244000
280.5726303582794,552214.6462221068,2014-06-01,1968.1700439453125,245000
282.12693952500643,561824.7702334214,2014-07-01,1991.3900146484375,246000
282.62568268250845,566675.8098458025,2014-08-01,2005.0400390625,247000
283.12091360629427,571694.7387734985,2014-09-01,2019.260009765625,248000
284.67811053344155,574534.4992171284,2014-10-01,2018.18994140625,249000
285.1598617933634,591923.4375009564,2014-11-01,2075.760009765625,250000
285.63751934951296,597996.4425813174,2014-12-01,2093.550048828125,251000
287.19120166540466,595163.5895339354,2015-01-01,2072.360107421875,252000
287.66299100133006,609727.6243793892,2015-02-01,2119.590087890625,253000
288.1352415542298,610132.1423235541,2015-03-01,2117.52001953125,254000
289.6861333137821,615849.5219027065,2015-04-01,2125.919921875,255000
290.15457883062925,619398.7740206984,2015-05-01,2134.719970703125,256000
290.62409102854696,618991.566816482,2015-06-01,2129.8701171875,257000
292.18279417499247,623173.3270457407,2015-07-01,2132.820068359375,258000
292.6561311253782,618282.8762616112,2015-08-01,2112.659912109375,259000
293.1509699599578,592417.0648590768,2015-09-01,2020.8599853515625,260000
294.7277680329047,617254.2792940789,2015-10-01,2094.320068359375,261000
295.2002506499047,624785.4207298805,2015-11-01,2116.47998046875,262000
295.67547483250405,622181.0372007049,2015-12-01,2104.27001953125,263000
297.27488686124025,605905.6598852045,2016-01-01,2038.199951171875,264000
297.78432160260013,584538.7003008398,2016-02-01,1962.9599609375,265000
298.2668981845347,618071.6374359239,2016-03-01,2072.2099609375,266000
299.8590969646048,633017.5612886865,2016-04-01,2111.050048828125,267000
300.3344996350772,631747.607426484,2016-05-01,2103.47998046875,268000
300.8060753946555,637874.3378659334,2016-06-01,2120.550048828125,269000
302.3934268958258,658337.7323381808,2016-07-01,2177.090087890625,270000
302.84925487240145,664393.7415766965,2016-08-01,2193.81005859375,271000
303.30632039569014,663594.834747828,2016-09-01,2187.8701171875,272000
304.904633530705,661521.1226840606,2016-10-01,2169.60009765625,273000
305.35628429439834,676089.378876177,2016-11-01,2214.10009765625,274000
305.7953564414772,696458.107115006,2016-12-01,2277.530029296875,275000
307.3766845736345,707270.6744353619,2017-01-01,2300.989990234375,276000
307.79835150041146,729956.1145406589,2017-02-01,2371.5400390625,277000
308.2148481010223,740017.6799737713,2017-03-01,2400.97998046875,278000
309.78764015288976,742920.2998816248,2017-04-01,2398.159912109375,279000
310.2010836893824,750286.4510131163,2017-05-01,2418.7099609375,280000
310.6086115325582,762177.6443838325,2017-06-01,2453.820068359375,281000
312.1759638263989,775457.5933777016,2017-07-01,2484.0400390625,282000
312.57742996190706,778589.779599383,2017-08-01,2490.8701171875,283000
312.9743435709855,788520.0618281433,2017-09-01,2519.43994140625,284000
314.5351470885893,812437.9880836199,2017-10-01,2582.97998046875,285000
314.9114066187444,836952.638751595,2017-11-01,2657.739990234375,286000
315.2824682672492,849676.7842693975,2017-12-01,2694.969970703125,287000
316.81286148083,910162.2024889393,2018-01-01,2872.8701171875,288000
317.1654757679758,899468.5902696722,2018-02-01,2835.9599609375,289000
317.52237645495734,889665.9155811004,2018-03-01,2801.89990234375,290000
319.08107200271127,867099.6192406218,2018-04-01,2717.489990234375,291000
319.4457373870544,875996.8757726888,2018-05-01,2742.239990234375,292000
319.80397158283483,892723.183185079,2018-06-01,2791.469970703125,293000
321.35435636956976,915226.8569859042,2018-07-01,2848.030029296875,294000
321.69723310538325,938229.9803518503,2018-08-01,2916.5,295000
322.03726392233636,947082.5815377819,2018-09-01,2940.909912109375,296000
323.5850559017641,951294.7972034737,2018-10-01,2939.860107421875,297000
323.9402767726554,911940.4385217482,2018-11-01,2815.14990234375,298000
324.2973966808086,908091.0620688993,2018-12-01,2800.179931640625,299000
325.88265864237826,882799.8122170314,2019-01-01,2708.949951171875,300000
326.2380890876512,917867.5980812969,2019-02-01,2813.489990234375,301000
326.5877015350834,934142.0877138125,2019-03-01,2860.31005859375,302000
328.1514436299827,967889.2524247144,2019-04-01,2949.52001953125,303000
328.4899527814652,970401.9857153934,2019-05-01,2954.1298828125,304000
328.82731763578965,974693.4614580831,2019-06-01,2964.14990234375,305000
330.3906732511358,1000416.3443380314,2019-07-01,3027.97998046875,306000
330.7225033842446,996662.0580411332,2019-08-01,3013.590087890625,307000
331.0534111646249,1000440.0947724413,2019-09-01,3021.989990234375,308000
332.6227195490081,1014532.589379117,2019-10-01,3050.10009765625,309000
332.9397511180303,1050178.542612923,2019-11-01,3154.260009765625,310000
333.2476395334355,1082364.983089231,2019-12-01,3247.929931640625,311000
334.7969194106946,1117475.1202404364,2020-01-01,3337.77001953125,312000
335.09159868008,1137140.0484975828,2020-02-01,3393.52001953125,313000
335.41040303920033,1052088.5095946437,2020-03-01,3136.719970703125,314000
337.0066175474553,995807.4101281564,2020-04-01,2954.860107421875,315000
337.33249163149134,1035162.0707407076,2020-05-01,3068.669921875,316000
337.64178944390403,1091639.7591373723,2020-06-01,3233.1298828125,317000
339.21282513351593,1112614.6709970557,2020-07-01,3279.989990234375,318000
339.4973387700962,1193255.0680197782,2020-08-01,3514.77001953125,319000
339.7760370179374,1219153.8326838105,2020-09-01,3588.110107421875,320000
341.3318991927534,1211677.0756825889,2020-10-01,3549.85009765625,321000
341.6061731218312,1245492.6878044675,2020-11-01,3645.989990234375,322000
341.87211642617285,1285507.5154927208,2020-12-01,3760.199951171875,323000
343.4124747235342,1329315.314870954,2021-01-01,3870.89990234375,324000
343.66561172819047,1357626.919046629,2021-02-01,3950.429931640625,325000
343.9159615976339,1373741.325938216,2021-03-01,3994.409912109375,326000
345.4426818171485,1457346.6029803487,2021-04-01,4218.77978515625,327000
345.6786399465628,1464999.9167422028,2021-05-01,4238.0400390625,328000
345.9110667284381,1488258.2116291134,2021-06-01,4302.43017578125,329000
347.43396838071413,1539122.1315515288,2021-07-01,4429.97021484375,330000
347.6543608622743,1577432.9432711792,2021-08-01,4537.35986328125,331000
347.8743417192136,1581384.6102763908,2021-09-01,4545.85009765625,332000
349.39588061833354,1610044.1968562836,2021-10-01,4608.080078125,333000
349.6066807489308,1658474.6876502223,2021-11-01,4743.830078125,334000
349.8146272075914,1682234.116708255,2021-12-01,4808.93017578125,335000
351.333960351056,1692944.889198754,2022-01-01,4818.6201171875,336000
351.5515735234534,1615488.4819267855,2022-02-01,4595.31005859375,337000
351.76721625567205,1631250.0432378936,2022-03-01,4637.2998046875,338000
353.30404459943134,1622884.532669954,2022-04-01,4593.4501953125,339000
353.5361891892382,1522913.7559629434,2022-05-01,4307.66015625,340000
353.77556624784586,1477900.8828398902,2022-06-01,4177.509765625,341000
355.34376176934666,1471176.4405878214,2022-07-01,4140.14990234375,342000
355.57496068587267,1537961.1895623333,2022-08-01,4325.27978515625,343000
355.8177215693658,1465712.7476610434,2022-09-01,4119.27978515625,344000
357.4080924368134,1395828.6844420724,2022-10-01,3905.419921875,345000
357.653183861719,1459264.370425814,2022-11-01,4080.110107421875,346000
357.897029207571,1467721.3869187275,2022-12-01,4100.9599609375,347000
359.48339043339007,1471800.47790397,2023-01-01,4094.2099609375,348000
359.7217444591814,1509190.974496382,2023-02-01,4195.43994140625,349000
359.9650090702621,1479726.16103558,2023-03-01,4110.75,350000
361.55468255395596,1507704.7407157943,2023-04-01,4170.06005859375,351000
361.7910277069704,1530774.0526621174,2023-05-01,4231.10009765625,352000
362.0153193948059,1614038.0541447424,2023-06-01,4458.47998046875,353000
363.5899345469244,1675084.2158408058,2023-07-01,4607.06982421875,354000
363.8080551271336,1667921.7283307158,2023-08-01,4584.6201171875,355000
364.0282588155454,1653143.3303460956,2023-09-01,4541.25,356000
365.6209701366521,1606381.2614939793,2023-10-01,4393.56982421875,357000
365.8389471292231,1678337.4374249524,2023-11-01,4587.64013671875,358000
366.0475716761421,1754575.7538215858,2023-12-01,4793.2998046875,359000
367.62417854082156,1802711.3964484935,2024-01-01,4903.68017578125,360000
