Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
50.0322686813838,106047.90077174165,2015-02-01,2119.590087890625,66500
50.26839395783369,106444.33055539656,2015-03-01,2117.52001953125,67000
50.50358625969566,107366.58015561952,2015-04-01,2125.919921875,67500
50.73780901811924,108311.01418070027,2015-05-01,2134.719970703125,68000
50.97256511707811,108564.94323925863,2015-06-01,2129.8701171875,68500
51.20699651962236,109215.30981745923,2015-07-01,2132.820068359375,69000
51.443664994815215,108682.96876653044,2015-08-01,2112.659912109375,69500
51.691084412105035,104460.44408785296,2015-09-01,2020.8599853515625,70000
51.92982537990356,108757.67543953004,2015-10-01,2094.320068359375,70500
52.16606668840357,110408.43580580389,2015-11-01,2116.47998046875,71000
52.40367877970323,110271.49016927546,2015-12-01,2104.27001953125,71500
52.64899327876036,107309.17553001773,2016-01-01,2038.199951171875,72000
52.9037106494403,103847.86578987414,2016-02-01,1962.9599609375,72500
53.14499894040759,110127.59617832549,2016-03-01,2072.2099609375,73000
53.38184789634663,112691.75260811808,2016-04-01,2111.050048828125,73500
53.61954923158281,112787.64837039298,2016-05-01,2103.47998046875,74000
53.85533711137197,114202.93774117497,2016-06-01,2120.550048828125,74500
54.085001470592154,117747.92060517606,2016-07-01,2177.090087890625,75000
54.31291545887996,119152.22024524283,2016-08-01,2193.81005859375,75500
54.5414482205243,119329.60470981446,2016-09-01,2187.8701171875,76000
54.771905437289796,118833.13138556283,2016-10-01,2169.60009765625,76500
54.99773081913648,121770.48117752223,2016-11-01,2214.10009765625,77000
55.217266892675916,125758.98348376954,2016-12-01,2277.530029296875,77500
55.4345646654268,127554.37840814724,2017-01-01,2300.989990234375,78000
55.64539812881528,131965.28965205894,2017-02-01,2371.5400390625,78500
55.853646429120715,134103.48691249872,2017-03-01,2400.97998046875,79000
56.06213961486503,134445.97581144824,2017-04-01,2398.159912109375,79500
56.26886138311136,136098.05551794288,2017-05-01,2418.7099609375,80000
56.47262530469926,138573.6612856105,2017-06-01,2453.820068359375,80500
56.67391030499607,140780.26236784706,2017-07-01,2484.0400390625,81000
56.87464337275014,141667.3496028794,2017-08-01,2490.8701171875,81500
57.073100177289376,143792.248166543,2017-09-01,2519.43994140625,82000
57.26667504189567,147918.67518122593,2017-10-01,2582.97998046875,82500
57.454804806973215,152699.9323666029,2017-11-01,2657.739990234375,83000
57.64033563122561,155338.9736274024,2017-12-01,2694.969970703125,83500
57.81437761001492,166093.19777960595,2018-01-01,2872.8701171875,84000
57.99068475358782,164459.26006852378,2018-02-01,2835.9599609375,84500
58.169135097078595,162984.0939479249,2018-03-01,2801.89990234375,85000
58.35312841510251,158574.04236690214,2018-04-01,2717.489990234375,85500
58.53546110727409,160518.28229517594,2018-05-01,2742.239990234375,86000
58.714578205164294,163899.9819022163,2018-06-01,2791.469970703125,86500
58.89013815181396,167720.88188580773,2018-07-01,2848.030029296875,87000
59.061576519720695,172253.0879197654,2018-08-01,2916.5,87500
59.23159192819724,174194.77581165291,2018-09-01,2940.909912109375,88000
59.40166804805673,174632.5942087986,2018-10-01,2939.860107421875,88500
59.57927848350236,167724.60000454274,2018-11-01,2815.14990234375,89000
59.75783843757897,167332.6999511314,2018-12-01,2800.179931640625,89500
59.94241179958726,162380.99351761633,2019-01-01,2708.949951171875,90000
60.12012702222374,169147.37558864566,2019-02-01,2813.489990234375,90500
60.29493324593986,172462.2040456005,2019-03-01,2860.31005859375,91000
60.464452353011204,178341.11268519994,2019-04-01,2949.52001953125,91500
